document ID:        1  2  3  4  5  6  7  8  9  10  
AID                 1  1  1  1  1  1  0  1  1  1  
AIDANCE             0  0  0  0  0  0  0  0  0  1  
AIDING              0  0  1  0  0  0  0  0  0  0  
AIDLESS             0  0  0  0  1  0  0  0  0  0  
AIDS                0  0  0  0  0  0  0  1  0  0  
AIL                 1  0  0  0  0  0  0  0  0  0  
AIM                 1  1  0  1  1  0  1  1  1  0  
AIMEST              0  0  0  0  0  0  0  0  0  1  
AIMING              0  0  0  0  0  0  0  1  0  0  
AIMS                0  1  0  0  1  0  0  0  0  0  
AINSI               0  0  0  0  0  0  0  0  1  0  
AIO                 0  0  0  0  0  0  0  0  0  1  
AIR                 1  1  1  1  1  1  1  1  1  1  
AIS                 0  0  0  0  0  0  0  0  1  0  
AJAX                0  1  0  1  0  1  0  0  0  0  
ALACK               1  0  1  1  1  1  1  1  0  0  
ALARUM              0  1  1  1  1  0  0  1  1  1  
ALARUMS             0  1  1  0  0  1  0  1  1  1  
ALAS                1  1  1  1  1  1  1  1  1  1  
ALBAN               0  0  0  0  0  0  0  1  0  1  
ALBANS              0  1  0  0  0  0  0  1  0  1  
ALBEIT              0  0  0  1  1  1  0  1  0  0  
ALBION              0  1  0  0  0  0  0  0  1  1  
ALCHEMY             1  0  0  0  0  0  0  0  0  0  
ALCIDES             0  0  0  1  0  0  0  0  0  1  
ALDER               0  0  0  0  0  0  0  0  0  1  
ALDERMAN            0  0  0  0  0  0  1  0  0  0  
ALDERMEN            0  1  0  0  0  0  0  0  0  1  
ALE                 0  0  0  0  0  0  1  1  1  0  
ALECTO              0  0  0  0  0  0  0  1  0  0  
ALEHOUSE            0  1  0  0  0  0  0  0  1  1  
ALEN                0  0  0  0  0  0  0  0  1  0  
ALENCON             0  0  0  0  0  0  0  0  1  1  
ALES                0  0  0  0  0  0  0  0  1  0  
ALEWIFE             0  0  0  0  0  0  0  1  0  0  
ALEXANDER           0  1  1  0  0  1  1  0  1  1  
ALEXANDERS          0  0  0  0  0  0  0  0  1  0  
ALEXANDRIA          0  0  1  1  0  0  0  0  0  0  
ALEXANDRIAN         0  0  1  1  0  0  0  0  0  0  
ALEXAS              0  0  1  0  0  0  0  0  0  0  
ALIAS               0  0  1  1  1  0  0  0  0  0  
ALICE               0  0  0  0  0  0  0  1  1  0  
ALIEN               1  0  0  0  0  0  1  0  0  0  
ALIENA              0  0  0  1  0  0  0  0  0  0  
ALIKE               1  1  1  1  1  1  0  0  1  0  
ALIVE               1  1  1  0  0  1  1  1  1  1  
ALL                 1  1  1  1  1  1  1  1  1  1  
ALLAY               0  1  1  0  0  1  0  0  0  1  
ALLAYED             1  0  0  0  0  0  0  0  0  0  
ALLAYING            0  0  0  0  1  0  0  0  0  0  
ALLAYMENTS          0  0  0  0  0  1  0  0  0  0  
ALLAYS              0  1  0  0  0  0  0  0  0  0  
ALLEGATION          0  0  0  0  0  0  0  0  0  1  
ALLEGATIONS         0  0  0  0  0  0  0  0  0  1  
ALLEGE              1  0  0  0  0  0  0  0  0  0  
ALLEGED             0  1  0  0  0  0  0  0  0  0  
ALLEGIANCE          0  1  1  0  0  0  1  0  1  1  
ALLEYS              0  0  0  0  1  0  0  0  0  0  
ALLIANCE            0  1  0  0  0  0  0  0  1  1  
ALLIED              0  1  0  0  0  0  0  0  0  0  
ALLIES              0  0  0  1  0  0  1  0  0  0  
ALLONS              0  0  0  0  0  0  0  0  1  0  
ALLOTTED            0  0  0  0  0  0  0  0  0  1  
ALLOTTERY           0  0  0  1  0  0  0  0  0  0  
ALLOW               1  1  1  1  1  1  1  1  0  0  
ALLOWANCE           0  0  0  0  1  0  0  0  0  0  
ALLOWED             0  0  0  0  0  1  1  0  0  0  
ALLOWS              0  0  0  1  0  0  0  0  0  0  
ALLUR               0  0  0  0  0  1  0  0  0  0  
ALLURE              0  0  0  0  0  1  0  0  0  0  
ALLUREMENT          0  0  1  0  0  0  0  0  0  0  
ALLURING            0  0  0  1  0  0  0  0  0  0  
ALMANAC             0  0  0  1  0  0  0  1  0  0  
ALMANACS            0  0  1  0  0  0  0  0  0  0  
ALMIGHTY            0  0  0  0  0  0  0  0  1  1  
ALMOST              1  1  1  1  1  1  1  1  1  1  
ALMS                0  1  1  0  1  1  0  0  0  0  
ALMSHOUSES          0  0  0  0  0  0  0  1  0  0  
ALOFT               1  1  0  1  0  0  0  0  0  1  
ALONE               1  1  1  1  1  1  1  1  1  1  
ALONG               1  1  1  1  1  1  1  1  1  1  
ALOOF               0  1  0  0  0  0  1  0  0  1  
ALOUD               0  1  1  0  0  1  0  0  1  1  
ALPS                0  0  1  0  0  0  0  0  1  0  
ALREADY             1  1  1  1  1  1  1  1  1  1  
ALSO                0  0  0  1  1  0  1  1  1  0  
ALT                 1  0  0  0  0  0  0  1  0  0  
ALTAR               1  0  0  0  0  0  0  1  1  0  
ALTER               1  1  0  1  0  1  1  0  1  1  
ALTERATION          1  0  0  0  1  0  0  1  0  1  
ALTERED             1  0  0  0  0  0  0  0  0  0  
ALTERS              1  0  0  0  0  0  0  0  0  0  
ALTHAEA             0  0  0  0  0  0  0  1  0  1  
ALTHOUGH            1  1  1  1  1  1  1  0  1  1  
ALTITUDE            0  0  0  0  1  0  0  0  0  0  
ALTOGETHER          0  0  1  1  1  1  1  0  1  0  
ALTON               0  0  0  0  0  0  0  0  0  1  
ALWAY               0  0  0  0  0  0  0  1  0  0  
ALWAYS              1  1  1  1  1  1  1  1  1  1  
AM                  1  1  1  1  1  1  1  1  1  1  
AMAIMON             0  0  0  0  0  0  1  0  0  0  
AMAIN               0  1  0  1  0  0  0  0  1  1  
AMAZ                1  0  0  0  0  1  0  0  1  0  
AMAZE               0  0  0  1  0  0  0  1  0  1  
AMAZED              0  0  0  0  1  0  1  0  0  0  
AMAZETH             1  0  0  0  0  0  0  0  0  0  
AMAZON              0  1  0  0  0  0  0  0  1  0  
